Kernel,Param1,Param2,Options,Size,Time
clBlas,1,8,-cl-std=CL1.2,2048,0.19394
clBlas,1,8,-cl-std=CL1.2,2048,0.21558
clBlas,1,8,-cl-std=CL1.2,2048,0.22178
clBlas,1,8,-cl-std=CL1.2,2048,0.21433
clBlas,1,8,-cl-std=CL1.2,2048,0.19644
clBlas,1,8,-cl-std=CL1.2,2048,0.18937
clBlas,1,8,-cl-std=CL1.2,2048,0.21457
clBlas,1,8,-cl-std=CL1.2,2048,0.19982
clBlas,1,8,-cl-std=CL1.2,2048,0.21426
clBlas,1,8,-cl-std=CL1.2,2048,0.22058
clBlas,1,8,-cl-std=CL1.2,2048,0.21456
clBlas,1,8,-cl-std=CL1.2,2048,0.22398
clBlas,1,8,-cl-std=CL1.2,2048,0.23692
clBlas,1,8,-cl-std=CL1.2,2048,0.21406
clBlas,1,8,-cl-std=CL1.2,2048,0.20591
clBlas,1,8,-cl-std=CL1.2,2048,0.21289
clBlas,1,8,-cl-std=CL1.2,2048,0.21242
clBlas,1,8,-cl-std=CL1.2,2048,0.23213
clBlas,1,8,-cl-std=CL1.2,2048,0.21383
clBlas,1,8,-cl-std=CL1.2,2048,0.21957
clBlas,1,8,-cl-std=CL1.2,2048,0.22667
clBlas,1,8,-cl-std=CL1.2,2048,0.20367
clBlas,1,8,-cl-std=CL1.2,2048,0.21200
clBlas,1,8,-cl-std=CL1.2,2048,0.21216
clBlas,1,8,-cl-std=CL1.2,2048,0.20570
clBlas,1,8,-cl-std=CL1.2,2048,0.22450
clBlas,1,8,-cl-std=CL1.2,2048,0.20827
clBlas,1,8,-cl-std=CL1.2,2048,0.20517
clBlas,1,8,-cl-std=CL1.2,2048,0.21765
clBlas,1,8,-cl-std=CL1.2,2048,0.23292
clBlas,1,8,-cl-std=CL1.2,2048,0.20532
clBlas,1,8,-cl-std=CL1.2,2048,0.21156
clBlas,1,8,-cl-std=CL1.2,2048,0.21175
clBlas,1,8,-cl-std=CL1.2,2048,0.22127
clBlas,1,8,-cl-std=CL1.2,2048,0.19244
clBlas,1,8,-cl-std=CL1.2,4096,2.22472
clBlas,1,8,-cl-std=CL1.2,4096,2.22628
clBlas,1,8,-cl-std=CL1.2,4096,2.28086
clBlas,1,8,-cl-std=CL1.2,4096,2.21852
clBlas,1,8,-cl-std=CL1.2,4096,2.15600
clBlas,1,8,-cl-std=CL1.2,4096,2.13720
clBlas,1,8,-cl-std=CL1.2,4096,2.27643
clBlas,1,8,-cl-std=CL1.2,4096,2.42940
clBlas,1,8,-cl-std=CL1.2,4096,2.22936
clBlas,1,8,-cl-std=CL1.2,4096,2.05856
clBlas,1,8,-cl-std=CL1.2,4096,2.17868
clBlas,1,8,-cl-std=CL1.2,4096,2.48438
clBlas,1,8,-cl-std=CL1.2,4096,2.20632
clBlas,1,8,-cl-std=CL1.2,4096,2.28275
clBlas,1,8,-cl-std=CL1.2,4096,2.21904
clBlas,1,8,-cl-std=CL1.2,4096,2.09857
clBlas,1,8,-cl-std=CL1.2,4096,2.12365
clBlas,1,8,-cl-std=CL1.2,4096,2.13684
clBlas,1,8,-cl-std=CL1.2,4096,2.01251
clBlas,1,8,-cl-std=CL1.2,4096,2.11975
clBlas,1,8,-cl-std=CL1.2,4096,2.20924
clBlas,1,8,-cl-std=CL1.2,4096,2.26255
clBlas,1,8,-cl-std=CL1.2,4096,2.06072
clBlas,1,8,-cl-std=CL1.2,4096,2.03218
clBlas,1,8,-cl-std=CL1.2,4096,2.10686
clBlas,1,8,-cl-std=CL1.2,4096,2.03716
clBlas,1,8,-cl-std=CL1.2,4096,2.07638
clBlas,1,8,-cl-std=CL1.2,4096,2.17206
clBlas,1,8,-cl-std=CL1.2,4096,2.08676
clBlas,1,8,-cl-std=CL1.2,4096,2.20779
clBlas,1,8,-cl-std=CL1.2,4096,2.25567
clBlas,1,8,-cl-std=CL1.2,4096,1.99878
clBlas,1,8,-cl-std=CL1.2,4096,1.93653
clBlas,1,8,-cl-std=CL1.2,4096,2.23839
clBlas,1,8,-cl-std=CL1.2,4096,2.20520
clBlas,1,8,-cl-std=CL1.2,4096,2.22484
clBlas,1,8,-cl-std=CL1.2,4096,2.26304
clBlas,1,8,-cl-std=CL1.2,4096,2.09591
clBlas,1,8,-cl-std=CL1.2,4096,2.17539
clBlas,1,8,-cl-std=CL1.2,4096,2.13178
clBlas,1,8,-cl-std=CL1.2,4096,2.22023
clBlas,1,8,-cl-std=CL1.2,4096,2.12651
clBlas,1,8,-cl-std=CL1.2,4096,2.16025
clBlas,1,8,-cl-std=CL1.2,4096,2.33085
clBlas,1,8,-cl-std=CL1.2,4096,2.19214
clBlas,1,8,-cl-std=CL1.2,4096,2.12522
clBlas,1,8,-cl-std=CL1.2,4096,2.36233
clBlas,1,8,-cl-std=CL1.2,4096,2.16989
clBlas,1,8,-cl-std=CL1.2,4096,2.14068
clBlas,1,8,-cl-std=CL1.2,4096,2.29680
clBlas,1,8,-cl-std=CL2.0,1024,0.18467
clBlas,1,8,-cl-std=CL2.0,1024,0.17493
clBlas,1,8,-cl-std=CL2.0,1024,0.18335
clBlas,1,8,-cl-std=CL2.0,1024,0.17855
clBlas,1,8,-cl-std=CL2.0,1024,0.19332
clBlas,1,8,-cl-std=CL2.0,1024,0.18966
clBlas,1,8,-cl-std=CL2.0,1024,0.18465
clBlas,1,8,-cl-std=CL2.0,1024,0.17251
clBlas,1,8,-cl-std=CL2.0,1024,0.19067
clBlas,1,8,-cl-std=CL2.0,1024,0.16556
clBlas,1,8,-cl-std=CL2.0,1024,0.17946
clBlas,1,8,-cl-std=CL2.0,1024,0.18870
clBlas,1,8,-cl-std=CL2.0,1024,0.17651
clBlas,1,8,-cl-std=CL2.0,1024,0.16558
clBlas,1,8,-cl-std=CL2.0,1024,0.19102
clBlas,1,8,-cl-std=CL2.0,1024,0.16881
clBlas,1,8,-cl-std=CL2.0,1024,0.18252
clBlas,1,8,-cl-std=CL2.0,1024,0.18380
clBlas,1,8,-cl-std=CL2.0,1024,0.18829
clBlas,1,8,-cl-std=CL2.0,1024,0.18029
clBlas,1,8,-cl-std=CL2.0,1024,0.17972
clBlas,1,8,-cl-std=CL2.0,1024,0.17629
clBlas,1,8,-cl-std=CL2.0,1024,0.18523
clBlas,1,8,-cl-std=CL2.0,1024,0.19371
clBlas,1,8,-cl-std=CL2.0,1024,0.18727
clBlas,1,8,-cl-std=CL2.0,1024,0.16966
clBlas,1,8,-cl-std=CL2.0,1024,0.18093
clBlas,1,8,-cl-std=CL2.0,1024,0.18234
clBlas,1,8,-cl-std=CL2.0,1024,0.19878
clBlas,1,8,-cl-std=CL2.0,1024,0.17773
clBlas,1,8,-cl-std=CL2.0,1024,0.16814
clBlas,1,8,-cl-std=CL2.0,1024,0.18187
clBlas,1,8,-cl-std=CL2.0,1024,0.17370
clBlas,1,8,-cl-std=CL2.0,1024,0.18574
clBlas,1,8,-cl-std=CL2.0,1024,0.18766
clBlas,1,8,-cl-std=CL2.0,1024,0.18337
clBlas,1,8,-cl-std=CL2.0,1024,0.17645
clBlas,1,8,-cl-std=CL2.0,1024,0.17982
clBlas,1,8,-cl-std=CL2.0,1024,0.18785
clBlas,1,8,-cl-std=CL2.0,1024,0.17111
clBlas,1,8,-cl-std=CL2.0,1024,0.18669
clBlas,1,8,-cl-std=CL2.0,1024,0.19239
clBlas,1,8,-cl-std=CL2.0,1024,0.18565
clBlas,1,8,-cl-std=CL2.0,1024,0.19460
clBlas,1,8,-cl-std=CL2.0,1024,0.19400
clBlas,1,8,-cl-std=CL2.0,1024,0.17718
clBlas,1,8,-cl-std=CL2.0,1024,0.19618
clBlas,1,8,-cl-std=CL2.0,1024,0.17793
clBlas,1,8,-cl-std=CL2.0,1024,0.17938
clBlas,1,8,-cl-std=CL2.0,1024,0.17569
clBlas,1,8,-cl-std=CL2.0,2048,0.20778
clBlas,1,8,-cl-std=CL2.0,2048,0.21063
clBlas,1,8,-cl-std=CL2.0,2048,0.22314
clBlas,1,8,-cl-std=CL2.0,2048,0.20285
clBlas,1,8,-cl-std=CL2.0,2048,0.20456
clBlas,1,8,-cl-std=CL2.0,2048,0.20391
clBlas,1,8,-cl-std=CL2.0,2048,0.19601
clBlas,1,8,-cl-std=CL2.0,2048,0.21700
clBlas,1,8,-cl-std=CL2.0,2048,0.18568
clBlas,1,8,-cl-std=CL2.0,2048,0.19566
clBlas,1,8,-cl-std=CL2.0,2048,0.22336
clBlas,1,8,-cl-std=CL2.0,2048,0.21844
clBlas,1,8,-cl-std=CL2.0,2048,0.20655
clBlas,1,8,-cl-std=CL2.0,2048,0.19312
clBlas,1,8,-cl-std=CL2.0,2048,0.22841
clBlas,1,8,-cl-std=CL2.0,2048,0.20771
clBlas,1,8,-cl-std=CL2.0,2048,0.22178
clBlas,1,8,-cl-std=CL2.0,2048,0.20953
clBlas,1,8,-cl-std=CL2.0,2048,0.21690
clBlas,1,8,-cl-std=CL2.0,2048,0.22185
clBlas,1,8,-cl-std=CL2.0,2048,0.18146
clBlas,1,8,-cl-std=CL2.0,2048,0.19853
clBlas,1,8,-cl-std=CL2.0,2048,0.22457
clBlas,1,8,-cl-std=CL2.0,2048,0.22023
clBlas,1,8,-cl-std=CL2.0,2048,0.22285
clBlas,1,8,-cl-std=CL2.0,2048,0.19890
clBlas,1,8,-cl-std=CL2.0,2048,0.20405
clBlas,1,8,-cl-std=CL2.0,2048,0.20023
